01,Northland/Auckland: Te Tai Tokerau/Tamaki Makau Rau Region,,,,,,,,,,,
0101,Te Aupōuri,,,,,,,,,,,
0102,Ngāti Kahu,,,,,,,,,,,
0103,Ngāti Kurī,,,,,,,,,,,
0104,Ngāpuhi,,,,,,,,,,,
0105,Ngāpuhi ki Whaingaroa-Ngāti Kahu ki Whaingaroa,,,,,,,,,,,
0106,Te Rarawa,,,,,,,,,,,
0107,Ngāi Takoto,,,,,,,,,,,
0108,Ngāti Wai,,,,,,,,,,,
0109,Ngāti Whātua (not Ōrākei or Kaipara),,,,,,,,,,,
0110,Te Kawerau ā Maki,,,,,,,,,,,
0111,Te Uri-o-Hau,,,,,,,,,,,
0112,Te Roroa,,,,,,,,,,,
0113,Ngāti Whātua o Kaipara,,,,,,,,,,,
0114,Ngāti Whātua,,,,,,,,,,,
0115,Ngāi Tai ki Tāmaki  ,,,,,,,,,,,
0116,Ngāti Hine (Te Tai Tokerau),,,,,,,,,,,
0117,Te Paatu,,,,,,,,,,,
0118,Ngāti Manuhiri,,,,,,,,,,,
0119,Ngāti Rēhua,,,,,,,,,,,
,,,,,,,,,,,,
02,Coromandel: Hauraki Region,,,,,,,,,,,
0201,Ngāti Hako,,,,,,,,,,,
0202,Ngāti Hei,,,,,,,,,,,
0203,Ngāti Maru (Hauraki),,,,,,,,,,,
0204,Ngāti Paoa,,,,,,,,,,,
0205,Patukirikiri,,,,,,,,,,,
0206,Ngāti Porou ki Harataunga ki Mataora,,,,,,,,,,,
0207,Ngāti Pūkenga ki Waiau,,,,,,,,,,,
0208,Ngāti Rāhiri Tumutumu,,,,,,,,,,,
0210,Ngāti Tamaterā,,,,,,,,,,,
0211,Ngāti Tara Tokanui,,,,,,,,,,,
0212,Ngāti Whanaunga,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
03,Waikato/Te Rohe Pōtae (Waikato/King Country) Region Iwi,,,,,,,,,,,
0301,Ngāti Haua (Waikato),,,,,,,,,,,
0302,Ngāti Maniapoto,,,,,,,,,,,
0303,Ngāti Raukawa (Waikato),,,,,,,,,,,
0304,Waikato,,,,,,,,,,,
0305,Ngāti Te Ata,,,,,,,,,,,
0306,Ngāti Hīkairo ,,,,,,,,,,,
0307,Rereahu,,,,,,,,,,,
0308,Ngāti Tipa,,,,,,,,,,,
0309,Ngāti Korokī Kahukura,,,,,,,,,,,
0310,Ngāti Tamaoho,,,,,,,,,,,
0311,Te Ākitai-Waiohua,,,,,,,,,,,
0312,Ngāti Tahinga,,,,,,,,,,,
0313,Ngāti Te Wehi,,,,,,,,,,,
,,,,,,,,,,,,
04,Te Arawa/Taupō (Rotorua/Taupō) Region Iwi ,,,,,,,,,,,
0401,Ngāti Pikiao (Te Arawa),,,,,,,,,,,
0402,Ngāti Rangiteaorere (Te Arawa),,,,,,,,,,,
0403,Ngāti Rangitihi (Te Arawa),,,,,,,,,,,
0404,Ngāti Rangiwewehi (Te Arawa),,,,,,,,,,,
0405,Tapuika (Te Arawa),,,,,,,,,,,
0406,Tarāwhai (Te Arawa),,,,,,,,,,,
